Results for transformer
Timestamp: 20251120_173957
================================================================================

Configuration:
--------------------------------------------------------------------------------
  batch_size: 16
  block_size: 256
  device_id: cuda:0
  embed_size: 512
  input_files: None
  kgram_chunk_size: 16
  kgram_k: 3
  learning_rate: 0.001
  log_interval_steps: 150
  max_new_tokens: 50
  max_steps_per_epoch: None
  nucleus_sampling_p_values:
    greedy: greedy (no sampling)
    top_p_0.95: 0.95
    top_p_1.0: 1.0
  num_epochs: 100
  num_inner_mlp_layers: 2
  prompt: Hi I am a Soldier
  sample_interval_seconds: 150
  test_split: 20.0
  tinystories_weight: 1.0
  train_subset_size: 15000
  val_split: 10.0
--------------------------------------------------------------------------------

Epoch      Train Loss      Val Loss        Test Loss      
--------------------------------------------------------------------------------
1          2.9038          2.5250          2.5393         
2          2.3439          2.2038          2.1976         
3          2.0483          1.9528          1.9241         
4          1.8456          1.7664          1.7626         
5          1.7050          1.6590          1.6475         
6          1.5872          1.5301          1.5312         
7          1.4936          1.4380          1.4557         
8          1.4131          1.3903          1.3695         
9          1.3385          1.3079          1.3021         
10         1.2741          1.2229          1.2286         
11         1.1969          1.1797          1.1682         
12         1.1390          1.0958          1.1119         
13         1.0742          1.0492          1.0546         
14         1.0243          0.9936          0.9902         
15         0.9572          0.9311          0.9258         
16         0.9072          0.9019          0.8791         
17         0.8549          0.8337          0.8252         
18         0.8173          0.7899          0.7855         
19         0.7649          0.7514          0.7484         
20         0.7290          0.6894          0.7137         
21         0.6880          0.6705          0.6783         
22         0.6472          0.6460          0.6131         
23         0.6216          0.6009          0.5977         
24         0.5793          0.5692          0.5672         
25         0.5581          0.5483          0.5317         
26         0.5236          0.5119          0.5125         
27         0.4932          0.5006          0.4844         
28         0.4732          0.4573          0.4702         
29         0.4533          0.4320          0.4307         
30         0.4313          0.4303          0.4216         
